state,emissions,year,,,,,,,,,
Alabama,4700,2021,,,,,,,,,
Alaska,1300,2021,,,,,,,,,
Arizona,40700,2021,,,,,,,,,
Arkansas,2400,2021,,,,,,,,,
California,563100,2021,,,,,,,,,
Colorado,37000,2021,,,,,,,,,
Connecticut,13300,2021,,,,,,,,,
Delaware,3000,2021,,,,,,,,,
District of Columbia,3700,2021,,,,,,,,,
Florida,95600,2021,,,,,,,,,
Georgia,34000,2021,,,,,,,,,
Hawaii,14200,2021,,,,,,,,,
Idaho,3500,2021,,,,,,,,,
Illinois,36500,2021,,,,,,,,,
Indiana,10400,2021,,,,,,,,,
Iowa,3700,2021,,,,,,,,,
Kansas,4500,2021,,,,,,,,,
Kentucky,4200,2021,,,,,,,,,
Louisiana,3200,2021,,,,,,,,,
Maine,3000,2021,,,,,,,,,
Maryland,25600,2021,,,,,,,,,
Massachusetts,30500,2021,,,,,,,,,
Michigan,17500,2021,,,,,,,,,
Minnesota,15000,2021,,,,,,,,,
Mississippi,1300,2021,,,,,,,,,
Missouri,10000,2021,,,,,,,,,
Montana,1600,2021,,,,,,,,,
Nebraska,2700,2021,,,,,,,,,
Nevada,17400,2021,,,,,,,,,
New Hampshire,4000,2021,,,,,,,,,
New Jersey,47800,2021,,,,,,,,,
New Mexico,4200,2021,,,,,,,,,
New York,51900,2021,,,,,,,,,
North Carolina,25200,2021,,,,,,,,,
North Dakota,400,2021,,,,,,,,,
Ohio,21200,2021,,,,,,,,,
Oklahoma,7100,2021,,,,,,,,,
Oregon,30300,2021,,,,,,,,,
Pennsylvania,26800,2021,,,,,,,,,
Rhode Island,2500,2021,,,,,,,,,
South Carolina,7400,2021,,,,,,,,,
South Dakota,700,2021,,,,,,,,,
Tennessee,12200,2021,,,,,,,,,
Texas,80900,2021,,,,,,,,,
Utah,16500,2021,,,,,,,,,
Vermont,3400,2021,,,,,,,,,
Virginia,30700,2021,,,,,,,,,
Washington,66800,2021,,,,,,,,,
West Virginia,1000,2021,,,,,,,,,
Wisconsin,9300,2021,,,,,,,,,
Wyoming,500,2021,,,,,,,,,