Date,LNG,Electricity,E85,Biodiesel
2004,0,9241,47643,31922
2005,1873,7464,72899,52275
2006,2271,9481,221834,91584
2007,1731,5895,385671,98785
2008,2053,14135,524169,17222
2009,2038,4568,642520,2814
2010,3410,9223,403981,88726
2011,4315,10541,479706,99347
2012,3411,20455,197187,103106
2013,3645,32187,259337,98028
2014,2992,65042,275508,130540
2015,3974,96896,271996,189823
2016,4924,171011,457817,160763
2017,5070,162811,327865,150695
2018,5100,227854,263967,153380
2019,4917,263543,275216,163366
2020,4510,234277,268047,203839